score,content,sentiment
5,Tingkatkan pelayanan banyakin diskon,Positif
5,Mempermudah pembelian Token Listrik,Positif
5,Mantap!,Positif
5,Terima kasih pln mobile pelayanan tambah baik dan mudah,Positif
5,Terimakasih PLN atas semua programnya dn tidak ada hambatan saat isi ulang token. Semoga kedepannya semakin sukses 😊,Positif
5,Mantap,Positif
5,Aplikasi PLN Mobile sangat membantu bagi pelanggan untuk melaporkan pengaduan di rumah. Dan juga sangat baik dengan fitur fitur yang menarik di dalam aplikasi ini. 🙏🙏❤️❤️,Positif
5,OK,Positif
5,Sangat membantu cari info PLN,Positif
1,"Sampai hari untuk pendaftaran registrasi pasang baru,waktu memasukan kode konfirmasi email tidak bisa..,, semua pelanggan yg berkaitan dengan pendaftaran pasang baru sangat kesulitan sebab tidak dapat mendapatkan no registrasi,,,mohon di tindak lanjuti",Negatif
5,membantu,Positif
5,Sangat membantu..👍👍👍👍👍👍👍👍👍👍,Positif
5,Sangat membantu,Positif
1,Tidak bisa berbuat apa-apa hanya menunggu dan tidak ada perubahan dengan melaporkan masalah...dan tidak ada perubahan walaupun sering terjadi gangguan? sampai kapan listrik bisa normal tanpa adanya gangguan yang penyelesaian selalu ber jam jam? Dan akhirnya menunggu lagi walaupun sudah melewati batas pengerjaan...lalu apa fungsinya estimasi?? Kayaknya percuma info yang di berikan tidak benar. Ternyata pln lebih mementingkan dirinya sendiri ketimbang pelanggan. Tetap sama tidak berubah baik,Negatif
5,good,Positif
5,Mantapppp bosh q 🙏🙏,Positif
5,sangat membantu,Positif
5,good,Positif
5,pengaduan direspon sangat cepat dan mudah di pahami,Positif
5,Aplikasinya sangat membantu 😁,Positif
5,aplikasi Sangat membantu..,Positif
3,"Selamat malam admin,mohon bantuanya saya mau pasang listrik baru daya 1300wt ko ga bisa bisa ya,?selalu muncul tulisan desa/kelurahan belum pemilihan unit.mohon bantuan nya min,daerah saya kec.majenang kab.cilacap.mohon segera bantuanya",Negatif
5,"Penanganan cepat meskipun sdh pukul 01.00 mereka tetap melaksanakan tugas, petugasx pun sangat ramah N sopan PLN mobile ini betul2 membantu trima kasih buat PLN",Positif
